Lastname,Firstname,Gender,Age,City,Province,Country,Your Height,Your Body Weight,Your Shoe Size,How often do you  brush your teeth in a day?,What is the number of times you floss in a week?,How many languages do you speak fluently?,How many musical instruments do you play?,What is the number of years you've been in school?,How much TV do you watch in a day?,How much time do you spend on the internet everyday?,How many apps have you downloaded on your phone?,How much time do you spend on exercising every week?,How many cell phones do you own in a year?,How many game consoles do you own?,How much do you pay for your monthly cellphone bill?,What is your monthly internet bill?,What is your monthly rent?,What is your monthly transportation spending?,How many kids do you have?,Are you vegetarian?,How much money do you spend for lunch?,What's favorite subject in highschool?,How many pets do you currently own?,How many cars do you own?,What kind of phone do you have?,What is your favorite sport?,Coca-Cola or Pepsi?,How many times do you dine at a restaurant every week?
Gonzalez,Ariel,F,23,Toronto,ON,CA,163,82,,2,0,1,0,12,1.83,3.17,41,110,,2,,,,350,,No,0,,1,0,Blackberry,Baseball,Pepsi,4
Situmeang,Keen,M,24,Toronto,ON,CA,172,82,8.5,,0,,,14,1.83,2.83,30,,4,,53,,1700,350,1,,0,Languages,,0,,Basketball,,1
Lau,David,M,28,Toronto,ON,CA,166,87,6,,0,1,,15,1.83,1.83,31,70,5,,,45,1700,350,1,No,,Drama,,1,,,,2
Sawyer,Kelsey,F,20,Toronto,ON,CA,170,54,5.5,2,,,0,14,1.17,1.67,,0,6,,59,55,,350,0,,0,Music,0,0,,Soccer,Coca Cola,
Mandell,Robert,M,18,Toronto,ON,CA,,,6.5,,0,,0,,1.17,2,40,,,,75,,1700,,0,No,0,Geography,1,,Android,,,0
Jordan,Emily,F,22,Toronto,ON,CA,163,62,7,,0,1,,16,1.83,1.83,46,30,,,70,,,350,0,No,0,,0,0,Android,Soccer,,2
Norman,Reya,F,24,Toronto,ON,CA,,71,,2,,,0,17,1.67,,,80,,1,80,90,,350,,,6.6,Languages,0,1,iOS,,Coca Cola,0
Lansing,Myeong,M,19,Toronto,ON,CA,175,65,8,2,0,2,0,13,,1.67,26,,4,0,65,53,1700,350,0,No,0,Visual Arts,0,0,,,I Don't Care,1
Quinta,Reilly,F,23,Toronto,ON,CA,165,62,7,2,0,1,1,14,1.5,,,90,3,0,,64,1700,,0,No,,Languages,1,0,,Baseball,,
Brown,Melanie,F,34,Toronto,ON,CA,159,73,7.5,,0,1,0,,2.33,1.83,,90,,2,54,,1580,,4,,0,,1,0,Android,Soccer,,2
Lucero,Availya,F,18,Toronto,ON,CA,160,75,6.5,,1,2,0,12,,2.67,,80,7,0,,79,,350,0,No,0,Math,0,0,iOS,Basketball,Coca Cola,2
Weckmann,Jordain,M,22,Toronto,ON,CA,180,74,8.5,2,1,2,,16,2,2.5,,90,,,46,,1700,,0,,11.6,English,0,,,Hockey,I Don't Care,0
Valdez,Amanda,F,27,Toronto,ON,CA,163,55,7.5,2,,,,,,2,27,70,,0,88,47,1700,,1,No,15.4,Math,2,1,,Soccer,Coca Cola,
Feazell,Nova,F,20,Toronto,ON,CA,,57,7.5,2,0,1,1,14,2.67,,,,4,1,17,,1700,350,0,,0,History,1,,Android,,,0
Ferndez,Soto,F,23,Toronto,ON,CA,161,64,7.5,,2,1,1,,2,2.83,46,0,8,2,54,70,1700,350,0,No,,,0,,Android,,,3
Crowe,Michael,M,27,Toronto,ON,CA,172,91,,2,1,1,,,0.83,3.5,,80,7,,49,,1700,,0,Somewhat,,,,1,,Basketball,Coca Cola,2
Dutkin,Damian,M,20,Toronto,ON,CA,178,,,2,0,2,,14,1.83,,34,70,3,2,94,62,1700,350,,No,0,,0,0,,Soccer,I Don't Care,2
Cdebaca,Braydon,M,18,Toronto,ON,CA,,,10,,0,,0,12,,2.83,,0,,1,45,57,1700,350,0,No,0,Computer Science and Technology,0,0,,Soccer,,3
Burke,Aakash,M,22,Toronto,ON,CA,169,73,7.5,2,,1,,16,1.33,2.33,31,0,3,,,80,,,0,No,16,Physics,2,1,,Baseball,I Don't Care,5
Chau,Keishon,M,20,Toronto,ON,CA,176,,8,2,0,1,0,,,2.67,51,0,9,2,69,80,2250,350,0,,0,Computer Science and Technology,1,0,Android,,,1
Mejias,Joseph,M,32,Toronto,ON,CA,,91,,,0,,0,13,1.67,2.83,,,6,,51,59,,160,2,No,,Music,0,1,Android,Football,I Don't Care,
Leo,Madeline,F,26,Toronto,ON,CA,,61,8,2,,1,0,20,1.67,2.33,,90,5,,,66,,350,1,,0,,1,0,Android,,I Don't Care,1
Rohrkaste,Wesley,M,32,Toronto,ON,CA,172,,8,,0,1,,16,1.83,1.83,,90,7,,65,65,790,60,3,No,,,,0,Blackberry,Hockey,,1
Chao,Angel,M,24,Toronto,ON,CA,173,,8.5,2,0,1,,19,1.33,3.33,49,,,2,44,,1700,350,0,,11.3,,2,,Android,,,2
Romero,Charles,M,19,Toronto,ON,CA,173,69,,,,1,0,13,1.67,2.17,,,,1,70,67,1700,350,0,No,0,Languages,1,0,,,Coca Cola,
Ortiz-Carrillo,Amari,F,26,Toronto,ON,CA,166,62,10.5,,,1,,17,,2,15,60,4,0,66,73,1700,350,0,No,,,0,,,Basketball,,
Wade,Amy,F,22,Toronto,ON,CA,180,86,,3,1,1,0,16,1.33,2.33,49,110,5,,68,65,1700,,0,Strictly,0,Business,,0,Android,Hockey,I Don't Care,0
Eubanks,Fabian,M,27,Toronto,ON,CA,184,72,7.5,2,1,1,0,,1.83,3.17,32,,,2,,72,1700,350,1,No,,Visual Arts,1,0,,,,3
Merrell,Madeline,F,24,Toronto,ON,CA,,,6.5,,0,2,1,17,1.83,2.83,34,0,0,,,72,1700,,0,No,14.2,,1,0,Android,Soccer,,3
Ding,Ivan,M,25,Toronto,ON,CA,177,70,,2,0,,2,17,1.67,,,0,1,0,,59,1700,350,1,No,0,History,,0,Android,Hockey,,2
Leon,Bradlie,F,31,Toronto,ON,CA,,77,,2,,,0,,1.33,2,31,70,4,1,58,66,600,130,0,Strictly,,Chemistry,0,,,Baseball,Coca Cola,
Hamilton,Manuel,M,26,Toronto,ON,CA,,93,11.5,,,1,0,,1.67,2.83,23,50,5,1,64,76,1700,350,,No,13.5,,0,,Android,Baseball,I Don't Care,1
Cross-Romero,Eric,M,25,Toronto,ON,CA,184,86,8,2,,,1,14,1.83,2.17,28,,3,,88,52,1700,350,,No,8.7,Computer Science and Technology,1,1,Android,Soccer,Pepsi,2
Howell,Phanindra,M,24,Toronto,ON,CA,177,75,10.5,2,,1,0,14,1.5,,51,0,3,,94,63,1700,350,1,,0,Music,,,Android,,,1
Khan,Jesus,M,18,Toronto,ON,CA,,82,9.5,2,,3,1,12,2.17,3.17,32,60,8,2,48,73,,350,0,Somewhat,0,Geography,2,0,Android,Soccer,Coca Cola,2
Roybal,Mary,F,27,Toronto,ON,CA,167,80,5.5,4,1,1,0,16,,,,,2,1,60,,2080,350,0,No,,,0,0,Android,Baseball,I Don't Care,5
Thomas,Tyrel,M,22,Toronto,ON,CA,,68,,2,0,,,16,2.17,2.17,34,80,4,3,55,66,,,,No,0,Biology,3,0,Android,,Coca Cola,
Pulido,Belen,F,23,Toronto,ON,CA,163,60,8.5,2,0,2,1,,,3.5,36,110,7,0,80,,2180,350,0,No,14.2,,,0,Android,Soccer,,2
Heer,Angelo,M,22,Toronto,ON,CA,184,83,8.5,2,2,2,,16,,,15,100,4,1,58,67,1700,350,0,Somewhat,12.1,Music,,0,,Basketball,I Don't Care,
Sameshima,Jayden,M,27,Toronto,ON,CA,183,,7.5,2,0,1,0,18,1.5,2.33,38,,,,58,60,1700,350,,No,11.6,English,0,1,Android,,,1
Wallace,Anish,M,22,Toronto,ON,CA,,64,10,2,,2,0,,1.17,,,70,3,,82,66,1700,,,No,10.8,Business,,1,Android,Basketball,I Don't Care,1
Treat-Hopkins,Priya,F,26,Toronto,ON,CA,161,65,9,2,0,,,19,1.67,2.5,26,0,,0,85,69,,350,1,,,,1,0,,Soccer,,
Ramirez,Bezawit,F,24,Toronto,ON,CA,169,65,,,1,,1,,2,,,0,6,0,,,,350,0,,11.8,Business,0,1,Android,,,3
Robinson,Nicole,F,23,Toronto,ON,CA,167,66,,2,0,2,0,17,1.67,,,50,3,0,72,,1700,,0,No,0,,1,0,,Soccer,,0
Alexander,Arielle,F,25,Toronto,ON,CA,164,61,,2,0,,0,16,2.33,2.5,34,,3,0,81,,,350,0,No,,Visual Arts,,0,Android,,Coca Cola,
Boyd,Katherine,F,25,Toronto,ON,CA,166,75,6.5,2,,,0,,,,29,,6,3,68,73,1700,,1,,0,,0,1,,Hockey,Pepsi,2
Ramos,Simonita,F,29,Toronto,ON,CA,161,72,7.5,2,2,,1,12,1.33,,34,80,5,,63,67,1370,150,1,No,12.3,Drama,,1,,,Pepsi,
Hearns,Angela,F,25,Toronto,ON,CA,168,68,8,2,,1,0,12,1.5,,41,,5,0,72,54,1700,350,0,No,,Music,0,0,Android,Baseball,I Don't Care,1
ck,Skylan,M,23,Toronto,ON,CA,,63,7.5,,,1,0,13,,2.5,20,,4,0,50,49,,350,,No,9.5,English,2,0,,Hockey,I Don't Care,1
Mccrae,Derek,M,22,Toronto,ON,CA,172,71,7,2,1,1,,,1.5,,26,0,,,49,60,1700,350,0,,13.6,Biology,1,1,Android,Hockey,I Don't Care,1
Lai,Brenden,M,28,Toronto,ON,CA,185,68,,,0,2,0,19,2,,17,,8,,,71,1700,350,0,No,13,Physics,1,0,,Soccer,I Don't Care,
Brauher,Matthew,M,18,Toronto,ON,CA,176,70,,2,,1,0,12,1.33,,37,100,4,3,65,75,1700,350,0,No,0,Languages,,0,Blackberry,Hockey,Coca Cola,1
Mendoza,Yaritza,F,23,Toronto,ON,CA,160,71,7,2,0,,,19,1.67,3,27,60,3,0,45,66,,,0,,0,,0,0,Android,Soccer,I Don't Care,2
Sanchez,Ivee,F,25,Toronto,ON,CA,166,56,8.5,,1,2,1,,,1.83,,,4,2,62,,1700,,1,No,9.5,Biology,0,1,,Soccer,I Don't Care,2
Summers,Waheed,M,28,Toronto,ON,CA,180,87,8.5,,,1,0,20,,3.17,,0,,1,,63,1700,350,0,,9.5,English,1,1,Android,Hockey,Coca Cola,0
Trujillo,Kendra,F,24,Toronto,ON,CA,165,51,,2,,,,,,3,,90,2,0,54,60,,350,1,No,12.9,,0,0,,Soccer,,2
Jackson,Gracie,F,24,Toronto,ON,CA,168,60,,2,0,2,0,17,,2.83,27,110,3,0,,58,1700,350,0,No,16.3,,0,1,,,,2
Florence,Jacob,M,20,Toronto,ON,CA,180,,,2,,1,0,14,1.33,1.67,38,,1,1,,,1700,350,0,No,0,Visual Arts,1,0,Android,,Coca Cola,
Jaramillo-Ortiz,Chasity,F,24,Toronto,ON,CA,161,70,8,2,1,2,0,,1.5,2.33,24,80,4,,69,60,1700,350,,No,0,,1,0,Blackberry,,,1
Vue,Austin,M,25,Toronto,ON,CA,181,86,10,3,0,1,,17,2.33,2.67,37,70,4,2,101,,,350,1,No,0,Business,0,,,Baseball,Coca Cola,
Begaye,Tommy,M,23,Toronto,ON,CA,,71,6.5,2,1,,0,14,2,2.33,49,100,,,67,,,350,0,No,0,,3,1,,,,3
Alkire,Jensen,M,19,Toronto,ON,CA,,90,9,2,0,2,,13,1.67,1.83,35,0,,1,83,61,2190,,0,No,0,English,1,0,Android,,,2
Jundt,Sophia,F,20,Toronto,ON,CA,166,59,8,3,,3,,14,1.33,2.17,43,0,2,0,78,74,1780,,0,No,,Biology,1,0,Android,Basketball,I Don't Care,2
Henderson,Jane,F,21,Toronto,ON,CA,171,56,,2,0,1,0,15,,2.33,,0,,2,87,50,1700,350,0,Somewhat,0,Languages,2,0,Android,Basketball,Pepsi,2
Whittiker,Tilane,F,25,Toronto,ON,CA,166,69,,2,1,1,0,20,2.17,2.33,41,100,,1,44,58,1700,350,,No,,Chemistry,0,0,Android,Basketball,,3
Regensberg-Romero,Jazmine,F,25,Toronto,ON,CA,,63,,2,0,,,17,,3,,,2,1,,61,,350,1,No,12.6,,0,0,Android,Basketball,,0
Failing,Will,M,21,Toronto,ON,CA,177,73,9,,1,1,,15,,,,80,4,1,72,52,1700,350,0,No,0,,0,0,iOS,Hockey,Coca Cola,3
Summa,Daniel,M,24,Toronto,ON,CA,,,11,2,0,2,1,16,,,48,50,8,1,73,60,,350,0,,0,Languages,0,0,iOS,Hockey,Pepsi,2
Patton,Marissa,F,21,Toronto,ON,CA,163,67,,2,0,1,0,15,,2.33,,0,5,0,49,54,1700,350,0,No,,,1,,,Basketball,I Don't Care,
Owens,Cody,M,29,Toronto,ON,CA,170,93,10.5,2,,1,0,17,1.5,,,60,5,,51,45,,150,,,13.8,Geography,,0,,,,0
Pierce,Chase,M,22,Toronto,ON,CA,175,74,9,2,1,2,0,16,1.17,,16,80,2,1,,,,350,0,,9.4,Physics,2,0,,Hockey,,1
Mishra,Oscar,M,26,Toronto,ON,CA,180,73,10,,0,2,0,13,,2.33,,,6,,60,,1700,350,1,Somewhat,,Music,0,0,Android,Basketball,,4
Mireles,Pauli,F,26,Toronto,ON,CA,167,66,7,2,0,1,0,20,2,1.83,,,,,,69,,,0,,,Music,0,0,Blackberry,Basketball,,3
Montgomery,Ashley,F,21,Toronto,ON,CA,169,61,8.5,2,1,1,0,15,2.33,3,38,,9,,,38,1700,,,,0,Geography,0,0,Windows,,,2
Nwankwo,Christopher,M,26,Toronto,ON,CA,178,90,,2,0,2,0,19,2,3,,0,4,0,91,65,1700,,0,No,,Math,1,1,Android,,I Don't Care,
Cruz,Mariah,F,22,Toronto,ON,CA,168,57,6.5,2,0,2,0,16,2,2.67,37,0,5,1,,60,1700,,,Somewhat,15.8,PhysEd,1,,Android,Soccer,I Don't Care,2
Caesar,Whitni,F,22,Toronto,ON,CA,170,74,,,0,1,,16,0.5,1.83,25,100,4,0,50,67,1700,,0,Somewhat,0,Geography,1,,,Hockey,,1
Burke,Brian,M,26,Toronto,ON,CA,175,88,,,,3,0,19,1.67,2.67,37,70,,1,,47,1700,350,1,No,9.9,History,,1,Blackberry,Football,,2
Pae,Eric,M,25,Toronto,ON,CA,188,81,9.5,2,0,1,0,14,1.67,2.83,54,0,5,0,,76,,,0,No,14.9,Drama,3,0,Android,Soccer,,
Martinez-Limon,Mayra,F,24,Toronto,ON,CA,164,66,7,,,3,,20,,3.17,38,0,3,,75,69,1700,350,1,No,10.1,Geography,1,1,,,I Don't Care,3
Baldwin,Juhi,F,22,Toronto,ON,CA,163,66,5.5,2,1,,,16,2,,34,0,6,0,80,,1760,350,0,No,0,Languages,,0,Android,Soccer,,0
Juarez,Lucette,F,25,Toronto,ON,CA,,,,2,0,3,0,,1.83,,30,60,6,0,84,58,1880,350,,No,,English,,0,Android,Baseball,I Don't Care,3
Ortiz,Joseph,M,29,Toronto,ON,CA,169,,,,,1,,17,,2.33,31,0,4,0,75,,1060,180,1,No,,History,0,,,Soccer,,
Weems,Rion,M,23,Toronto,ON,CA,180,82,8.5,2,1,1,,15,,,,,5,0,76,63,,,0,Somewhat,,Computer Science and Technology,0,,Android,,Coca Cola,
Zamora,Jui-Chun,M,21,Toronto,ON,CA,184,54,,,,,,15,2.17,3.67,,80,7,0,,,1700,,,No,0,Languages,1,,,Hockey,I Don't Care,5
Kim,Daiveon,M,22,Toronto,ON,CA,177,,7,,,2,1,16,1.5,,22,60,,0,64,83,1700,350,0,No,12.5,PhysEd,,,Android,,,1
Nolan,Lance,M,21,Toronto,ON,CA,,,9,2,,,0,15,1.83,2.5,,90,8,1,91,62,1700,350,0,,,,1,0,Android,Soccer,,0
Herbert,An,F,23,Toronto,ON,CA,153,78,4,2,1,1,,17,,3.5,32,80,,2,70,63,1940,350,,No,16.4,Computer Science and Technology,1,,,,,0
Price,Brandon,M,26,Toronto,ON,CA,167,,10.5,2,1,,0,16,2,1.83,,0,3,,78,49,1810,350,0,,0,Geography,0,0,Android,Hockey,Coca Cola,2
Gonzales,Jordan,M,24,Toronto,ON,CA,,80,8.5,2,,1,0,16,2,2.17,,80,,,98,75,,,0,,10.5,,2,,Android,Baseball,I Don't Care,2
Sanchez-Rivas,Kamisha,F,23,Toronto,ON,CA,,67,,3,,1,1,,,2.83,27,40,6,,60,58,1700,,0,No,,Business,1,1,Android,Baseball,,2
Bargas,Vanessa,F,28,Toronto,ON,CA,161,65,6.5,2,2,1,,,2,2.67,24,90,,1,40,,1700,350,,No,,PhysEd,0,1,,Soccer,Pepsi,
Davis,Tuyet,F,25,Toronto,ON,CA,167,57,8,,,1,0,,1,3,44,80,,0,93,,1700,350,0,No,0,Geography,0,0,Android,Soccer,Coca Cola,1
Long,Ivan,M,27,Toronto,ON,CA,164,89,,2,0,1,,,,1.17,37,60,1,1,,,1700,,0,No,0,Visual Arts,0,0,,Soccer,I Don't Care,3
Otsuki,Adalberto,M,23,Toronto,ON,CA,167,76,7.5,2,1,3,1,18,2,2.83,29,,5,0,64,72,1700,350,,No,15,Visual Arts,1,,Android,,,3
Egan,Shawnesse,F,28,Toronto,ON,CA,160,81,9,,3,,0,18,1.33,2.33,39,90,2,2,68,62,1700,350,1,No,,Languages,4,1,Android,Football,,2
Howard,Rinesty,F,31,Toronto,ON,CA,165,64,7.5,2,0,1,0,17,,2.83,,90,1,2,70,71,780,170,0,No,12,History,3,1,Android,Hockey,I Don't Care,3
Bison,Randal,M,22,Toronto,ON,CA,167,61,,2,0,,1,,2,2.17,19,0,4,1,,68,1700,350,0,No,14.9,Music,,1,,Baseball,I Don't Care,2
Keith,Joshua,M,20,Toronto,ON,CA,174,,9,2,,2,1,,2,2.5,42,80,5,,64,85,1700,,0,No,0,Visual Arts,0,0,,,I Don't Care,1
Valdez,Kimberly,F,22,Toronto,ON,CA,164,83,9,,1,2,,,2,2.33,62,100,4,1,,,1700,350,0,Somewhat,10.9,Visual Arts,0,,iOS,Hockey,,0
Lee,Antonio,M,22,Toronto,ON,CA,,,,,1,3,,16,,2.5,46,,4,0,,60,,,0,No,,Languages,1,,Android,Baseball,,2
Stibbs,Cameron,M,22,Toronto,ON,CA,171,,11,2,0,2,0,16,1.67,2.33,,70,5,,,64,1700,,,No,,PhysEd,0,0,Android,,I Don't Care,2
Morales,Mariah,F,22,Toronto,ON,CA,171,80,,2,,,0,16,1.83,2.5,53,,0,0,61,,1700,350,0,No,11,Physics,1,0,,Soccer,,
Gould,Juanita,F,23,Toronto,ON,CA,166,,6.5,2,0,1,0,19,1.83,,40,90,4,1,75,61,1700,,,No,,Chemistry,1,1,Android,Basketball,Coca Cola,1
Siewiyumptewa,Modassar,M,22,Toronto,ON,CA,168,85,8.5,2,0,1,0,16,2,2.5,39,0,5,0,54,58,1700,350,0,No,7.2,PhysEd,0,0,Android,Soccer,,0
Whitfield,Larry,M,26,Toronto,ON,CA,176,71,8.5,3,1,2,,,,2.67,40,100,3,1,,74,1930,,,,,,1,0,iOS,Soccer,,1
Talty,Luke,M,29,Toronto,ON,CA,,,,2,,,0,14,1,,34,0,4,2,38,,1610,110,1,No,,Chemistry,2,1,Android,,,2
Cooper-Church,Hope,F,20,Toronto,ON,CA,151,,,2,0,3,,,1.33,3,23,0,,0,38,,,350,,No,,Physics,1,,,Football,Coca Cola,1
Hood,Jeffrey,M,30,Toronto,ON,CA,171,,,2,0,1,0,,,2,38,110,1,0,72,54,,,,,0,Chemistry,2,0,,Hockey,,4
Hoyt,Kira,F,23,Toronto,ON,CA,,77,9.5,3,0,1,0,15,2,2.17,49,0,,0,73,73,1980,350,0,No,,History,3,0,,Baseball,I Don't Care,1
Scheuerman,Sydney,F,24,Toronto,ON,CA,166,73,8,2,0,2,0,15,,2.33,35,0,,2,67,66,2110,350,1,,13,Geography,2,0,Android,Hockey,I Don't Care,3
Jos,Jessica,F,23,Toronto,ON,CA,173,68,6.5,2,0,1,,13,1.67,2.67,,0,5,0,62,67,1700,380,,,10.8,Geography,0,1,,Basketball,I Don't Care,2
Cayou,Benjamin,M,26,Toronto,ON,CA,180,86,8,2,1,1,0,,,2.17,49,60,,0,65,77,,350,1,No,0,,0,0,,,,0
Springer,Josiah,M,18,Toronto,ON,CA,166,73,8.5,2,,,0,12,,2.17,35,0,6,2,93,40,2280,350,0,No,0,English,,0,Android,Soccer,I Don't Care,
Vu,Dion,M,26,Toronto,ON,CA,,,7,,1,1,0,16,1.83,3.5,25,,4,1,68,67,1700,350,0,No,0,Computer Science and Technology,0,0,,Baseball,,2
Martinez,Dwayne,M,27,Toronto,ON,CA,170,85,9,2,0,2,,13,1.67,,14,70,5,,89,79,1850,350,1,No,6.9,Physics,1,1,Android,,,
Maga,Jessica,F,18,Toronto,ON,CA,171,,,2,1,2,,12,,2.17,34,0,3,,66,57,1860,350,0,,0,Geography,,0,Android,Baseball,Pepsi,
Vargas,sstaja,F,23,Toronto,ON,CA,162,74,6,,0,1,1,12,1.83,3,56,,,4,63,,1700,350,0,No,0,Visual Arts,0,1,iOS,Soccer,I Don't Care,1
varro,Alexis,F,30,Toronto,ON,CA,164,73,8,2,2,2,0,,2.67,,45,0,3,1,47,,1360,,1,No,10.8,Chemistry,2,1,Android,Basketball,,4
Meza,Ashley,F,25,Toronto,ON,CA,174,74,8.5,2,,,,,1.5,2,33,90,3,0,63,56,1700,350,,,,,0,,Android,Hockey,,3
Saldamando,Isabel,F,28,Toronto,ON,CA,171,89,8,3,1,1,0,,1.17,,,,5,0,55,72,1700,350,1,,12.1,Computer Science and Technology,,0,Android,Hockey,,
Myers,Heather,F,23,Toronto,ON,CA,167,66,7,,0,,0,,2,2.17,7,50,,2,88,,1700,,,,0,PhysEd,,0,Android,Basketball,,
Ortiz,Leeann,F,20,Toronto,ON,CA,160,81,6.5,2,1,1,0,14,,,38,0,,0,67,,,350,0,No,0,,,0,,Baseball,,
Gonzales,Jose,M,22,Toronto,ON,CA,,78,9.5,2,0,2,,16,,,43,0,2,,72,68,,350,0,,,PhysEd,1,0,,Basketball,Pepsi,2
Le,Michael,M,25,Toronto,ON,CA,,94,,2,,1,0,13,1.33,2.33,33,0,,1,,47,1700,350,0,No,0,Music,0,1,,Hockey,I Don't Care,2
Sharma,Carlos,M,27,Toronto,ON,CA,179,85,,4,0,1,0,19,,2.17,32,50,,,68,53,,350,1,No,,Geography,0,0,,Hockey,,0
Shiferaw,Sele,F,25,Toronto,ON,CA,170,59,6.5,2,,1,,13,1.83,,,60,,0,82,53,,,0,,13.8,Computer Science and Technology,0,1,,Soccer,I Don't Care,3
Two,Crow,M,22,Toronto,ON,CA,162,84,8,,1,1,0,16,1.67,,,120,5,0,40,72,1700,,,No,0,Computer Science and Technology,1,0,,,Coca Cola,1
Moore,Brittany,F,29,Toronto,ON,CA,,,8,,1,2,1,15,1.17,1.83,32,,,1,76,56,1220,360,1,No,,,0,,,Soccer,,3
Morgan,Adam,M,21,Toronto,ON,CA,179,,,2,0,1,0,15,1,,,,6,0,,74,1700,350,0,No,0,,1,1,,Baseball,Coca Cola,1
Kunzman,Jared,M,23,Toronto,ON,CA,165,67,8.5,2,0,2,,19,1.83,1.5,22,0,1,1,51,,1700,,0,,13,Drama,1,0,Android,,,3
Hardiman,Kirsten,F,20,Toronto,ON,CA,175,77,7,2,,1,0,,1.33,2.33,,90,3,0,,81,1700,,0,No,0,Geography,2,0,,Baseball,I Don't Care,
Edwards,Jera,F,25,Toronto,ON,CA,172,,7.5,2,0,1,,13,1.17,2.33,,70,6,2,67,49,,350,0,No,7.6,Biology,,,Android,Basketball,I Don't Care,6
Contreras,Castillo,F,24,Toronto,ON,CA,166,,7.5,2,0,1,1,18,1.33,,,90,4,,,70,1700,350,0,No,13.5,Geography,0,1,,Soccer,,0
Arapahoe,Antonio,M,22,Toronto,ON,CA,173,76,,2,0,1,0,16,1.83,2.33,61,90,5,,56,63,1700,350,0,,,Chemistry,,1,,Basketball,,2
Skyhorse,Vak,M,26,Toronto,ON,CA,169,85,8,2,,,0,14,1.83,,40,0,,1,64,60,1700,350,0,,0,,0,1,,Soccer,Coca Cola,2
Chafin,Matthew,M,24,Toronto,ON,CA,187,68,11,2,1,1,,14,1.5,,35,,7,0,64,69,,350,1,No,,Business,1,0,Android,Baseball,,
Herndez,Tatia,F,33,Toronto,ON,CA,,66,7.5,2,,,,15,,3.33,29,,5,,100,64,1090,,2,No,0,Music,1,1,,Baseball,,2
Moore,Destinee,F,25,Toronto,ON,CA,,68,7.5,2,0,2,1,14,1.33,3.33,45,50,4,,54,73,1700,350,1,No,11.8,Languages,3,0,,Soccer,I Don't Care,3
Salgado,Jazmyne,F,26,Toronto,ON,CA,,58,8.5,2,0,,1,,2,,22,70,9,,96,72,,350,0,No,0,,0,0,iOS,,I Don't Care,0
Alarid,Imelda,F,21,Toronto,ON,CA,174,80,,,1,1,,15,1.83,2.33,20,0,5,0,40,63,,350,0,,0,Math,0,,,Soccer,,
Lee,Benjamin,M,22,Toronto,ON,CA,176,,9,2,0,1,0,16,1.67,2.5,14,,6,0,67,72,1850,350,0,No,9.3,Biology,2,0,Blackberry,,Coca Cola,3
Garcia,Coronel,F,25,Toronto,ON,CA,155,58,6.5,2,0,1,1,,2.17,2.17,40,50,7,0,69,62,1700,350,1,,13.9,Music,3,0,,Basketball,,5
Ho,Tristan,M,23,Toronto,ON,CA,181,,9,2,0,2,0,15,,3,36,0,7,,80,65,1700,350,0,,9.9,,0,,Android,Hockey,Coca Cola,4
Campbell,Benjamin,M,22,Toronto,ON,CA,191,,7,2,0,1,,16,1.67,,17,70,4,,,,1700,,0,No,15.7,English,1,0,Android,Baseball,Coca Cola,3
va,Aime,F,29,Toronto,ON,CA,166,67,8,2,1,,,,1.83,2.17,23,40,4,,90,58,1410,150,,No,12.4,Music,,1,,,I Don't Care,
Summa,Tyler,M,19,Toronto,ON,CA,,83,11.5,2,,1,0,13,1.83,2.17,10,0,4,,56,74,,,0,,0,Languages,0,,Android,Baseball,Pepsi,2
Schell,Rueben,M,26,Toronto,ON,CA,,81,11,3,1,3,,12,,2.83,,0,4,2,,85,1700,,0,No,10.1,Languages,0,1,,Baseball,I Don't Care,1
Asmarzadeh,Anthony,M,22,Toronto,ON,CA,172,,10,2,1,2,0,16,1.67,1.83,8,,,1,82,69,1700,350,0,No,,,0,0,iOS,Hockey,Coca Cola,2
Ly,Kameran,M,25,Toronto,ON,CA,180,92,8,3,,1,0,15,2,2.83,28,,6,0,51,65,,350,0,No,15.9,PhysEd,2,1,,Football,Coca Cola,5
Walker,Alisa,F,28,Toronto,ON,CA,168,55,8.5,2,,2,0,18,1,1.83,,,5,1,73,54,,,1,Somewhat,0,Visual Arts,1,0,iOS,,I Don't Care,0
Green,Raeven,F,21,Toronto,ON,CA,,74,,2,0,,0,,,2.83,53,,1,2,62,62,1870,,0,No,0,Physics,0,0,Android,Soccer,,1
Christensen,Cheyenne,M,23,Toronto,ON,CA,176,73,9,2,0,1,0,13,2,,35,,8,1,52,54,1700,350,0,No,11.5,PhysEd,1,0,Android,,Pepsi,
Montelongo-Nunez,Gettay,F,22,Toronto,ON,CA,,83,10,2,0,3,0,16,1.5,2.83,56,110,2,0,73,57,1700,350,0,Somewhat,,Languages,1,,Android,Hockey,I Don't Care,4
Quinta,Jasmine,F,32,Toronto,ON,CA,171,58,8.5,2,,1,1,20,2.17,,,60,5,,50,63,1260,130,,No,13.6,Drama,,0,Android,,,1
Cleveland,Dorian,M,28,Toronto,ON,CA,188,94,9,3,1,,0,15,1.67,2.83,21,0,5,1,81,67,1700,350,1,,0,History,,0,Android,Basketball,Coca Cola,2
Sidara,Vernon,M,17,Toronto,ON,CA,,99,9,2,,1,,11,2,,,60,5,,,,1700,350,0,No,5.4,History,0,,Android,,,2
Lopez,Jen,F,24,Toronto,ON,CA,157,66,,2,1,2,0,17,1,1.83,,0,2,1,,,1700,350,0,No,0,Geography,1,0,Android,Football,I Don't Care,1
