Lastname,Firstname,Gender,Age,City,Province.State,Country,,,,
Vigil,Kyra,F,26,Vancouver,BC,Canada,,,,
Romero,Robert,M,22,Vancouver,BC,Canada,,,,
Ingram,Stephanie,F,28,Vancouver,BC,Canada,,,,
Wesemann,De'Jane,F,25,Vancouver,BC,Canada,,,,
Khaton,William,M,25,Vancouver,BC,Canada,,,,
Baca,Audra,F,28,Vancouver,BC,Canada,,,,
Odom,Jr,F,21,Vancouver,BC,Canada,,,,
Kim,Alex,M,30,Vancouver,BC,Canada,,,,
Donelson,Brian,F,21,Vancouver,BC,Canada,,,,
Kaskie,Kylan,M,24,Vancouver,BC,Canada,,,,
Esquibel,Cassiopeia,F,25,Vancouver,BC,Canada,,,,
Gatewood,Shanta,F,18,Vancouver,BC,Canada,,,,
Knights,Bezir,F,18,Vancouver,BC,Canada,,,,
Sowrirajan,Emilio,M,26,Vancouver,BC,Canada,,,,
Cruz,Avila,F,24,Vancouver,BC,Canada,,,,
Her,Aaron,M,23,Vancouver,BC,Canada,,,,
Bailey,Austin,M,23,Vancouver,BC,Canada,,,,
Vandevelde-Brown,Christine,F,27,Vancouver,BC,Canada,,,,
Butler,Rudy,M,28,Vancouver,BC,Canada,,,,
Black,Julee,F,22,Vancouver,BC,Canada,,,,
Thornton,Leilani,F,29,Vancouver,BC,Canada,,,,
Banuelos,Arlinda,F,21,Vancouver,BC,Canada,,,,
Yun,Jeremiah,M,31,Vancouver,BC,Canada,,,,
Granillo,Andres,F,21,Vancouver,BC,Canada,,,,
Runyan,Marcus,M,28,Vancouver,BC,Canada,,,,
Cook,Madison,F,23,Vancouver,BC,Canada,,,,
Sanchez,Alexandra,F,23,Vancouver,BC,Canada,,,,
Bennett,Anthony,M,20,Vancouver,BC,Canada,,,,
Martinez,Sharmella,F,30,Calgary,AB,Canada,,,,
Khan,Manuel,M,26,Calgary,AB,Canada,,,,
Mian,Matthew,M,31,Calgary,AB,Canada,,,,
Billings,Caigen,M,27,Calgary,AB,Canada,,,,
King,Rebecca,F,21,Calgary,AB,Canada,,,,
Kimbrel,Kyree,M,29,Calgary,AB,Canada,,,,
Quinta,Brandy,F,21,Calgary,AB,Canada,,,,
Lucas,Rodney,M,27,Calgary,AB,Canada,,,,
Germany,Autumn,F,30,Calgary,AB,Canada,,,,
Bedonie,Jeong,M,24,Calgary,AB,Canada,,,,
Mitchell,Judy,F,23,Calgary,AB,Canada,,,,
Contreras,Liren,M,22,Calgary,AB,Canada,,,,
Ramirez,Larissa,F,31,Calgary,AB,Canada,,,,
Harvin,Maithreyi,F,19,Calgary,AB,Canada,,,,
Vong,Trevor,M,19,Calgary,AB,Canada,,,,
Vandeusen,Lacey,F,24,Calgary,AB,Canada,,,,
Villeda,Akaren,F,25,Calgary,AB,Canada,,,,
Aguilar,Sonia,F,28,Calgary,AB,Canada,,,,
Yellowhorse,Leon,M,22,Calgary,AB,Canada,,,,
Jarvis-Peters,Emilee,F,27,Calgary,AB,Canada,,,,
Carmo,Marisa,F,29,Calgary,AB,Canada,,,,
Ousley-Gude,Harley,M,26,Calgary,AB,Canada,,,,
Auyeung,Bryan,M,23,Calgary,AB,Canada,,,,
Dixon,Corbin,M,20,Calgary,AB,Canada,,,,
Zuni,Wakiyan,M,28,Calgary,AB,Canada,,,,
Madrigal,Alexa,F,23,Calgary,AB,Canada,,,,
Charles,Zolaykha,F,24,Calgary,AB,Canada,,,,
Rodriguez,Setu,M,25,Calgary,AB,Canada,,,,
Isabelle,Deja,F,22,Calgary,AB,Canada,,,,
Cordova,Jasmine,F,17,Calgary,AB,Canada,,,,
Straker,Jin,F,23,Calgary,AB,Canada,,,,
Li,Jordan,M,26,Calgary,AB,Canada,,,,
Nguyen,Kameron,M,21,Calgary,AB,Canada,,,,
Miyazawa,Tristan,M,25,Calgary,AB,Canada,,,,
Lengyel,Ann,F,24,Calgary,AB,Canada,,,,
Yates,Yongyee,M,29,Calgary,AB,Canada,,,,
Fish,Marshall,M,28,Calgary,AB,Canada,,,,
Tesfai,Azira,F,23,Calgary,AB,Canada,,,,
Hines,Zaeem,M,30,Calgary,AB,Canada,,,,
Sisneros,Alexia,F,25,Calgary,AB,Canada,,,,
Tang,Robert,M,27,Calgary,AB,Canada,,,,
Randall,Jessica,F,27,Calgary,AB,Canada,,,,
Gabel,Tenzing,M,23,Calgary,AB,Canada,,,,
Foster,Carlos,M,22,Calgary,AB,Canada,,,,
Tran,Antwonn,M,23,Calgary,AB,Canada,,,,
Cobb,Salee,F,28,Calgary,AB,Canada,,,,
White,Matthew,M,27,Calgary,AB,Canada,,,,
Wilson,Prithviraj,M,25,Calgary,AB,Canada,,,,
Wilson,Nidesh,M,25,Calgary,AB,Canada,,,,
Vasquez,Quy,M,28,Edmonton,AB,Canada,,,,
Rouillard,Trevor,M,23,Edmonton,AB,Canada,,,,
Hinton,Robin,M,25,Edmonton,AB,Canada,,,,
Garcia,Kimberly,F,21,Edmonton,AB,Canada,,,,
Casanova,Luz,F,24,Edmonton,AB,Canada,,,,
Doell,Danielle,F,20,Edmonton,AB,Canada,,,,
Habtamu,Latasha,F,23,Edmonton,AB,Canada,,,,
Cournoyer,Edward,M,25,Edmonton,AB,Canada,,,,
Koh,Juan,M,26,Edmonton,AB,Canada,,,,
Combs,Rebecca,F,26,Edmonton,AB,Canada,,,,
Bushman,Tyrec,M,24,Edmonton,AB,Canada,,,,
Wang,Devin,M,24,Edmonton,AB,Canada,,,,
Herrera,Allan,M,17,Edmonton,AB,Canada,,,,
Sharpe,Aaron,M,23,Edmonton,AB,Canada,,,,
Hall,Cody,M,25,Edmonton,AB,Canada,,,,
Campos-Rocha,Joseph,M,22,Edmonton,AB,Canada,,,,
Gibson,Jordan,M,19,Edmonton,AB,Canada,,,,
Garcia,Andejia,F,23,Edmonton,AB,Canada,,,,
Lee,Suyoun,F,26,Edmonton,AB,Canada,,,,
Ernest,Christine,F,23,Edmonton,AB,Canada,,,,
Vigo,Joseph,M,26,Edmonton,AB,Canada,,,,
Dehn,Pha,M,23,Edmonton,AB,Canada,,,,
Untalan,X'Zavion,M,29,Edmonton,AB,Canada,,,,
Ruiz,Nya,F,28,Edmonton,AB,Canada,,,,
Sarabia,Denise,F,22,Edmonton,AB,Canada,,,,
Two,Crow,M,25,Edmonton,AB,Canada,,,,
Vega,Alicia,F,32,Edmonton,AB,Canada,,,,
Knight,Robert,M,20,Edmonton,AB,Canada,,,,
Cowans,Frances,F,26,Edmonton,AB,Canada,,,,
Chinchillas,Geralynn,F,19,Edmonton,AB,Canada,,,,
Merlano,Arianh,F,21,Edmonton,AB,Canada,,,,
Yang,Terrance,M,20,Edmonton,AB,Canada,,,,
Rosales,Mayra,F,29,Edmonton,AB,Canada,,,,
Tapp,Cora,F,27,Edmonton,AB,Canada,,,,
Purifoy,Jeanne,F,23,Edmonton,AB,Canada,,,,
Humphrey,Tashi,F,25,Edmonton,AB,Canada,,,,
Green,Gautham,M,22,Edmonton,AB,Canada,,,,
Gilbert,Rachel,F,27,Edmonton,AB,Canada,,,,
Chapa,Stephen,M,25,Edmonton,AB,Canada,,,,
Le,Dejon,M,24,Edmonton,AB,Canada,,,,
Blanco,Jevon,M,26,Edmonton,AB,Canada,,,,
Rasmussen,Vicky,F,23,Edmonton,AB,Canada,,,,
Abbott,Valenti,F,21,Edmonton,AB,Canada,,,,
Brown,Morgan,F,28,Edmonton,AB,Canada,,,,
Lewis,Mitchell,M,28,Edmonton,AB,Canada,,,,
Thompson,Blake,M,21,Edmonton,AB,Canada,,,,
Guerrero,Armando,M,23,Edmonton,AB,Canada,,,,
Blevins,Yvette,F,25,Ottawa,ON,Canada,,,,
Zuni,Tyler,M,26,Ottawa,ON,Canada,,,,
Lucero,Zamir,M,21,Ottawa,ON,Canada,,,,
Schneider,Alejandro,M,25,Ottawa,ON,Canada,,,,
Flores,Gabrielle,F,25,Ottawa,ON,Canada,,,,
Roberts,Emily,F,26,Ottawa,ON,Canada,,,,
Vincenty,Rie,F,21,Ottawa,ON,Canada,,,,
Fisher,Ryan,M,25,Ottawa,ON,Canada,,,,
Stevens,Johney,M,19,Ottawa,ON,Canada,,,,
Sipanya,Faustino,M,19,Ottawa,ON,Canada,,,,
Small,Rupinder,F,21,Ottawa,ON,Canada,,,,
Boles,Emily,F,23,Ottawa,ON,Canada,,,,
Varghese,Angelo,M,25,Ottawa,ON,Canada,,,,
Nguyen,Joseph,M,21,Ottawa,ON,Canada,,,,
Wal,Elizabeth,F,23,Ottawa,ON,Canada,,,,
Jumbo,Myles,M,20,Ottawa,ON,Canada,,,,
Ortiz,Aliyah,F,24,Ottawa,ON,Canada,,,,
Heise,Kristen,F,25,Ottawa,ON,Canada,,,,
Flores,Kristi,F,19,Ottawa,ON,Canada,,,,
Richardson,Kerani,F,20,Ottawa,ON,Canada,,,,
Kim,Ricky,M,24,Ottawa,ON,Canada,,,,
Raymonde,Jazmeen,F,22,Ottawa,ON,Canada,,,,
Cos,Ayrika,F,26,Ottawa,ON,Canada,,,,
Peppers,Mattea,F,22,Ottawa,ON,Canada,,,,
Staton,Trevor,M,24,Ottawa,ON,Canada,,,,
Seabrooks,Siobhan,F,20,Ottawa,ON,Canada,,,,
Mora,Yesenia,F,24,Ottawa,ON,Canada,,,,
Jackson,Angeli,F,17,Ottawa,ON,Canada,,,,
Johnson,James,M,17,Ottawa,ON,Canada,,,,
Howard,Jacob,M,19,Ottawa,ON,Canada,,,,
Saucedo,Karla,F,20,Ottawa,ON,Canada,,,,
Conklin,Matthew,M,24,Ottawa,ON,Canada,,,,
Nevarez,Alcantar,F,28,Ottawa,ON,Canada,,,,
Miller,Uriel,M,19,Ottawa,ON,Canada,,,,
Perkins,Bria,F,23,Ottawa,ON,Canada,,,,
Barbour,Casey,M,28,Ottawa,ON,Canada,,,,
Brink,Casey,M,19,Ottawa,ON,Canada,,,,
Malik,Torrey,M,25,Ottawa,ON,Canada,,,,
Manzares,Jr,F,23,Ottawa,ON,Canada,,,,
Kenh,Seth,M,26,Ottawa,ON,Canada,,,,
Montes,Sindel,F,27,Ottawa,ON,Canada,,,,
Burks,Jacob,M,28,Ottawa,ON,Canada,,,,
Atkins,Lauren,F,21,Ottawa,ON,Canada,,,,
Nguyen,Raymond,M,24,Ottawa,ON,Canada,,,,
Bryant,Jackson,M,25,Ottawa,ON,Canada,,,,
Ireland,Jacob,M,24,Ottawa,ON,Canada,,,,
Johnson,Brenda,F,27,Ottawa,ON,Canada,,,,
Rash,Kaylee,F,22,Ottawa,ON,Canada,,,,
Burns,Jessica,F,26,Ottawa,ON,Canada,,,,
Cruz,Manuel,M,26,Ottawa,ON,Canada,,,,
Herndez,Mariah,F,26,St. John's,NL,Canada,,,,
Vazquez,Shelby,F,25,St. John's,NL,Canada,,,,
Inthavong,Christian,M,19,St. John's,NL,Canada,,,,
Mourn,Matthew,M,29,St. John's,NL,Canada,,,,
Hintz,Jothan,M,27,St. John's,NL,Canada,,,,
Scott,Orawan,F,21,St. John's,NL,Canada,,,,
Field,Aimee,F,24,St. John's,NL,Canada,,,,
Sharif,Savanh,F,27,St. John's,NL,Canada,,,,
Haro,Jharrimarshae,F,25,Halifax,NS,Canada,,,,
Borgen,Sara,F,19,Halifax,NS,Canada,,,,
Kaufmann,Daisy,F,31,Halifax,NS,Canada,,,,
Sanders,Noalani,F,22,Halifax,NS,Canada,,,,
Wong,Adedoyin,M,28,Halifax,NS,Canada,,,,
Nguyen,Patrick,M,24,Halifax,NS,Canada,,,,
Patterson,Catherine,F,23,Halifax,NS,Canada,,,,
Lafferty,Kevin,M,25,Halifax,NS,Canada,,,,
Riley,Scarlett,F,25,Halifax,NS,Canada,,,,
Lansing,Patrick,M,25,Halifax,NS,Canada,,,,
Rogers,Peckham,F,21,Halifax,NS,Canada,,,,
Gallegos,Precious,F,25,Halifax,NS,Canada,,,,
Brinkmann,Zachary,M,25,Halifax,NS,Canada,,,,
Xiao,Ernesto,M,23,Halifax,NS,Canada,,,,
Begay,Andrew,M,22,Halifax,NS,Canada,,,,
Thoms,Mercedes,F,24,Halifax,NS,Canada,,,,
Matano,Samuel,M,24,Halifax,NS,Canada,,,,
Kimble,La,F,25,Quebec City,QC,Canada,,,,
Ho,Adrian,M,23,Quebec City,QC,Canada,,,,
Garrett,Rockelle,F,21,Quebec City,QC,Canada,,,,
Hammer,Victoria,F,26,Quebec City,QC,Canada,,,,
Bartell,Thanh,M,21,Quebec City,QC,Canada,,,,
Lawrence,Caylin,F,32,Quebec City,QC,Canada,,,,
Mccoy,Pratheeksha,F,30,Quebec City,QC,Canada,,,,
Prudence,Brian,F,28,Quebec City,QC,Canada,,,,
Evangelista,Gene,M,25,Quebec City,QC,Canada,,,,
Illick,Julia,F,23,Quebec City,QC,Canada,,,,
Huntley,Kia,F,24,Quebec City,QC,Canada,,,,
Milburn,Kursh,M,22,Quebec City,QC,Canada,,,,
Uyemura,Danielle,F,27,Quebec City,QC,Canada,,,,
Collins,Brenda,F,22,Quebec City,QC,Canada,,,,
Duran,Vanessa,F,20,Quebec City,QC,Canada,,,,
Yanez-Garcia,Idaly,F,32,Quebec City,QC,Canada,,,,
Pak,Steven,M,23,Quebec City,QC,Canada,,,,
Akigbogun,Shiann,F,23,Quebec City,QC,Canada,,,,
Breckenridge,Ricardo,M,28,Quebec City,QC,Canada,,,,
Brooks,Eunmi,F,21,Quebec City,QC,Canada,,,,
Xiong,Eric,M,29,Quebec City,QC,Canada,,,,
Dong,Elijah,M,23,Quebec City,QC,Canada,,,,
Lee,Antwon,M,28,Quebec City,QC,Canada,,,,
Silva,Samuel,M,23,Quebec City,QC,Canada,,,,
Dial,Bryce,M,20,Quebec City,QC,Canada,,,,
Mata,Yarimar,F,21,Quebec City,QC,Canada,,,,
Fisher,Tiffany,F,25,Quebec City,QC,Canada,,,,
Mclin,Ernesto,M,24,Quebec City,QC,Canada,,,,
Allison,Samantha,F,29,Quebec City,QC,Canada,,,,
Potratz-Oldham,Valerie,F,27,Quebec City,QC,Canada,,,,
Teran,Katelynn,F,17,Quebec City,QC,Canada,,,,
Sulub,Summer,F,36,Kingston,ON,Canada,,,,
Pooser,Rachel,F,23,Kingston,ON,Canada,,,,
Mathys,Zeke,M,27,Kingston,ON,Canada,,,,
Mccarty,Lauren,F,29,Kingston,ON,Canada,,,,
Telang,Brandon,M,19,Kingston,ON,Canada,,,,
Moon,Adrian,M,19,Kingston,ON,Canada,,,,
Lewis,Alexandria,F,22,Hamilton,ON,Canada,,,,
Turner,Christine,F,25,Hamilton,ON,Canada,,,,
Greenlee,Derek,M,20,Hamilton,ON,Canada,,,,
King,Kateri,F,18,Hamilton,ON,Canada,,,,
Cole,Miguel,M,24,Hamilton,ON,Canada,,,,
Vanvong,Kevin,M,26,Hamilton,ON,Canada,,,,
Nguyen,Martell,M,21,Hamilton,ON,Canada,,,,
Lanza,Murphy,M,35,Hamilton,ON,Canada,,,,
Barraza,Asia,F,28,Hamilton,ON,Canada,,,,
Chen,Bryan,M,25,Hamilton,ON,Canada,,,,
Mcneal,Rhian,F,20,Hamilton,ON,Canada,,,,
Webb,Jeffrey,M,26,Hamilton,ON,Canada,,,,
Bueno,Kraig,M,21,Hamilton,ON,Canada,,,,
Doura,Andria,F,22,Hamilton,ON,Canada,,,,
Tran,Larry,M,24,Hamilton,ON,Canada,,,,
Tabor,Mary,F,16,Hamilton,ON,Canada,,,,
Ochoa,Sotelo,F,26,Hamilton,ON,Canada,,,,
Gordon,Thanh,M,24,Hamilton,ON,Canada,,,,
Arnold,Samantha,F,20,Hamilton,ON,Canada,,,,
Suh,Imane,M,32,Hamilton,ON,Canada,,,,
Sumual,Alfredo,M,19,Hamilton,ON,Canada,,,,
Lofton,Jeovanni,M,23,Hamilton,ON,Canada,,,,
Nguyen,Felix,M,26,Hamilton,ON,Canada,,,,
Delarosa,Aaron,M,27,Hamilton,ON,Canada,,,,
Zahn,Jesse,M,17,Hamilton,ON,Canada,,,,
Harlan,Carly,F,23,Hamilton,ON,Canada,,,,
Denny,David,M,27,Hamilton,ON,Canada,,,,
Proctor,Foster,M,32,Hamilton,ON,Canada,,,,
Leming,Sage,M,22,Hamilton,ON,Canada,,,,
Churelchuluun,Frank,M,23,Hamilton,ON,Canada,,,,
Valdez,Jessy,M,23,Waterloo,ON,Canada,,,,
Sanchez,Daisy,F,26,Waterloo,ON,Canada,,,,
Frazier,Caleb,M,25,Waterloo,ON,Canada,,,,
Aguirre,Pauli,F,26,Waterloo,ON,Canada,,,,
Owens,Patrick,M,23,Waterloo,ON,Canada,,,,
Oh,Joshua,M,25,Waterloo,ON,Canada,,,,
Tomas,Derantae,M,21,Waterloo,ON,Canada,,,,
Parson,Kali,F,24,Waterloo,ON,Canada,,,,
Zhang,Kyle,M,21,Waterloo,ON,Canada,,,,
Pride,Delrey,F,29,Waterloo,ON,Canada,,,,
Kerr,Sylvie,F,23,Waterloo,ON,Canada,,,,
Mapa,Edgar,M,27,Waterloo,ON,Canada,,,,
Pe,Campos,F,29,Waterloo,ON,Canada,,,,
Lee,Sergio,M,32,Waterloo,ON,Canada,,,,
Lee,Mai,F,22,Waterloo,ON,Canada,,,,
Manglo,Dennis,M,30,Waterloo,ON,Canada,,,,
Grajales,omi,F,24,Waterloo,ON,Canada,,,,
Alvarez,Monica,F,31,Waterloo,ON,Canada,,,,
Hamlin,Elijah,M,24,Waterloo,ON,Canada,,,,
Longwolf,Dominick,M,30,Waterloo,ON,Canada,,,,
Dodd,Audrey,F,24,London,ON,Canada,,,,
Topping,Amanda,F,23,London,ON,Canada,,,,
Ferndez,Rodriguez,F,22,London,ON,Canada,,,,
Safar,Corey,M,20,London,ON,Canada,,,,
Morelos,Kari,F,17,London,ON,Canada,,,,
Gibson,Ryan,M,28,London,ON,Canada,,,,
Chamberlain,Paige,F,24,London,ON,Canada,,,,
Giang,Lonnie,M,25,London,ON,Canada,,,,
Patrick,Kiearn,F,29,London,ON,Canada,,,,
Payne,Kimly,F,27,London,ON,Canada,,,,
Robinson,An,F,27,London,ON,Canada,,,,
Hester,Kyle,M,23,London,ON,Canada,,,,
Mitchell,Nisa,F,30,London,ON,Canada,,,,
Ochoa,Tarango,F,23,London,ON,Canada,,,,
Fraire,Keah,F,29,London,ON,Canada,,,,
Tamura,Daniel,M,24,London,ON,Canada,,,,
Bunting,Markangelo,M,24,London,ON,Canada,,,,
Takata,Rocky,M,31,London,ON,Canada,,,,
Elfvin,Cuauhtemoc,M,21,London,ON,Canada,,,,
Scott,Roger,M,29,Winnipeg,MB,Canada,,,,
Corral,Gutierrez,F,23,Winnipeg,MB,Canada,,,,
Nguyen,Tommy,M,25,Winnipeg,MB,Canada,,,,
Mills,Tony,M,29,Winnipeg,MB,Canada,,,,
Mingilton,Calvin,M,23,Winnipeg,MB,Canada,,,,
Lucero,Esmeralda,F,20,Winnipeg,MB,Canada,,,,
Richardson,Anne,F,23,Winnipeg,MB,Canada,,,,
Tiongson,Astacio,M,23,Winnipeg,MB,Canada,,,,
Fischer,Crystal,F,21,Winnipeg,MB,Canada,,,,
Ferguson,Daniel,M,25,Winnipeg,MB,Canada,,,,
Jackson,Hanh,F,24,Winnipeg,MB,Canada,,,,
Marquez,Mariah,F,23,Winnipeg,MB,Canada,,,,
Odeki,Bria,F,31,Winnipeg,MB,Canada,,,,
Zheng,Quincy,M,21,Winnipeg,MB,Canada,,,,
Holiday,David,M,27,Winnipeg,MB,Canada,,,,
Bilker,Jennifer,F,25,Winnipeg,MB,Canada,,,,
Barajas-Lepe,Brianne,F,20,Winnipeg,MB,Canada,,,,
Burton,Michelle,F,19,Winnipeg,MB,Canada,,,,
Robinson,Blake,M,23,Winnipeg,MB,Canada,,,,
Banks,Almiranda,F,20,Winnipeg,MB,Canada,,,,
Leon,Jay,M,28,Winnipeg,MB,Canada,,,,
Bui,Tabyan,M,26,Winnipeg,MB,Canada,,,,
Piza,Tayde,F,29,Winnipeg,MB,Canada,,,,
Beckley,Alexis,F,23,Winnipeg,MB,Canada,,,,
Schrecongost,Kayla,F,26,Winnipeg,MB,Canada,,,,
Brussel,Andrew,M,19,Winnipeg,MB,Canada,,,,
Yost,Joo,M,26,Winnipeg,MB,Canada,,,,
Hunter,Devin,M,23,Winnipeg,MB,Canada,,,,
Lara,Angeli,F,20,Winnipeg,MB,Canada,,,,
Gutierrez,Destiny,F,25,Winnipeg,MB,Canada,,,,
Edgar,Emily,F,27,Saskatoon,SK,Canada,,,,
Park,Tresmon,M,30,Saskatoon,SK,Canada,,,,
Lucas,Byung,M,25,Saskatoon,SK,Canada,,,,
Chikuma,Benjamin,M,25,Saskatoon,SK,Canada,,,,
Thompson,Erin,F,19,Saskatoon,SK,Canada,,,,
Bowyer,Ericka,F,24,Saskatoon,SK,Canada,,,,
Mubili,Adam,M,22,Saskatoon,SK,Canada,,,,
Fonseca,Guevara,F,28,Saskatoon,SK,Canada,,,,
Aguilera,Alonso,F,24,Saskatoon,SK,Canada,,,,
Garcia,Seidy,F,23,Saskatoon,SK,Canada,,,,
Vang,Josafat,M,22,Saskatoon,SK,Canada,,,,
Chung,Donovan,M,28,Victoria,BC,Canada,,,,
Borrego,Angie,F,20,Victoria,BC,Canada,,,,
Chung,Miguel,M,19,Victoria,BC,Canada,,,,
Mendez,Lizeth,F,24,Victoria,BC,Canada,,,,
Miller,Ernesto,M,22,Victoria,BC,Canada,,,,
Johnson,Olivia,F,27,Victoria,BC,Canada,,,,
Hall,Elle-Han,F,26,Victoria,BC,Canada,,,,
Chu,Darius,M,27,Victoria,BC,Canada,,,,
Dawe,Levi,M,24,Victoria,BC,Canada,,,,
Lai,Craig,M,24,Victoria,BC,Canada,,,,
Epperson,Zsuria,F,25,Victoria,BC,Canada,,,,
Hossain,Craig,M,24,Victoria,BC,Canada,,,,
Ortega,Isabella,F,24,Victoria,BC,Canada,,,,
Andrade,Tiara,F,19,Victoria,BC,Canada,,,,
Gonsoulin,Enkhjin,F,22,Regi,SK,Canada,,,,
Ouk,Haven,M,21,Regi,SK,Canada,,,,
Kennedy,Darius,M,25,Regi,SK,Canada,,,,
Ranjitkar,Aaron,M,30,Regi,SK,Canada,,,,
Cloud,Brandon,M,28,Regi,SK,Canada,,,,
Frazier,David,M,29,Regi,SK,Canada,,,,
Padilla,Gwynneisha,F,25,Regi,SK,Canada,,,,
Neff,Terry,M,27,Regi,SK,Canada,,,,
Root,Soryn,M,32,New York,NY,USA,,,,
Sanchez-Villalobos,Sasha,F,21,New York,NY,USA,,,,
Carter,Farid,M,19,New York,NY,USA,,,,
Arreola-Pe,Myr,F,23,New York,NY,USA,,,,
Bohan,Ashley,F,21,New York,NY,USA,,,,
Whyte,Son,M,25,New York,NY,USA,,,,
Ortega,Christopher,M,27,New York,NY,USA,,,,
Sanchez,Vanessa,F,24,New York,NY,USA,,,,
Portugal,Hulett,F,27,New York,NY,USA,,,,
Mark,Adolfo,M,22,New York,NY,USA,,,,
Hopkins,Stefeno,M,22,New York,NY,USA,,,,
Shoeboot,Ravin,M,20,New York,NY,USA,,,,
Rusli,Andre,M,19,New York,NY,USA,,,,
Terahara,Alexandra,F,29,New York,NY,USA,,,,
Anderson,Anthony,M,22,New York,NY,USA,,,,
Matsushima,Pablo,M,23,New York,NY,USA,,,,
Martinez,Des,F,27,New York,NY,USA,,,,
Cardoza,Lyne,F,21,New York,NY,USA,,,,
Reed,Alondra,F,21,New York,NY,USA,,,,
Crum,David,M,30,New York,NY,USA,,,,
Herrera,Ty'Ese,F,22,New York,NY,USA,,,,
Elizalde,Malia,F,24,New York,NY,USA,,,,
Bear,Matthew,M,26,New York,NY,USA,,,,
Truong,Jeremiah,M,20,New York,NY,USA,,,,
Kang,Jeffrey,M,25,New York,NY,USA,,,,
Martinez,Raquel,F,22,New York,NY,USA,,,,
Martinez,Baylie,F,23,New York,NY,USA,,,,
Thao,Brim,M,24,New York,NY,USA,,,,
Casillas,Kiara,F,28,New York,NY,USA,,,,
Arrates,Jordyn,M,26,New York,NY,USA,,,,
Topaha,Joshua,M,19,New York,NY,USA,,,,
Caasi,Trevon,M,24,New York,NY,USA,,,,
Pham,Zachary,M,23,New York,NY,USA,,,,
Martinez,Victoria,F,24,New York,NY,USA,,,,
Schell,Corey,M,24,New York,NY,USA,,,,
Flores,Ilia,F,23,New York,NY,USA,,,,
Mulholland,Ricardo,M,22,New York,NY,USA,,,,
Hess,Sterling,M,26,New York,NY,USA,,,,
Martinez,Julianne,F,25,New York,NY,USA,,,,
Ruiz,Melanie,F,19,New York,NY,USA,,,,
Adame,Perla,F,22,New York,NY,USA,,,,
Wood,Luis,M,23,New York,NY,USA,,,,
Wampler,Heidi,F,20,New York,NY,USA,,,,
Phonthongsy,Elisha,M,25,New York,NY,USA,,,,
Behr,Christian,M,25,New York,NY,USA,,,,
Romero,Claire,F,24,New York,NY,USA,,,,
Callahan,Minh,M,23,New York,NY,USA,,,,
Legarde,Nicholas,M,22,New York,NY,USA,,,,
Barger,Hoai-Trung,M,29,New York,NY,USA,,,,
Martin,Lakota,M,21,New York,NY,USA,,,,
Bayar,Mario,M,22,New York,NY,USA,,,,
Jaramillo,Corin,F,26,New York,NY,USA,,,,
Rogers,Victor,M,24,New York,NY,USA,,,,
Lee,Jashjaun,M,27,New York,NY,USA,,,,
Scott,Ameilia,F,23,New York,NY,USA,,,,
Salazar,Keaira,F,26,New York,NY,USA,,,,
Tann,Shemar,M,28,New York,NY,USA,,,,
Aafedt,Torejimai,F,25,New York,NY,USA,,,,
Cabral,Nicolas,M,27,New York,NY,USA,,,,
Wade,Ivy,F,28,New York,NY,USA,,,,
Yamaguchi,Barton,M,21,New York,NY,USA,,,,
Trujillo,Andrew,M,23,New York,NY,USA,,,,
Kamath,Anthony,M,27,New York,NY,USA,,,,
Chavez,Randi,F,20,New York,NY,USA,,,,
Hughes,Emily,F,20,New York,NY,USA,,,,
Lemus,Drew,F,26,New York,NY,USA,,,,
Weber,Jesse,M,25,New York,NY,USA,,,,
Estrada-Caraveo,Amanda,F,31,New York,NY,USA,,,,
Hardaway,Ibro,M,26,New York,NY,USA,,,,
Brown,Jayda,F,30,New York,NY,USA,,,,
Carter,Kevin,M,22,New York,NY,USA,,,,
Williams,Cinead,F,28,New York,NY,USA,,,,
Moores,Christi,F,23,New York,NY,USA,,,,
Webb,Jared,M,23,New York,NY,USA,,,,
Evans,Kelsey,F,26,New York,NY,USA,,,,
Trujillo,Jeremy,M,26,New York,NY,USA,,,,
Farley,David,M,25,New York,NY,USA,,,,
Chham,Juan,M,26,New York,NY,USA,,,,
Valenzuela,Laura,F,24,New York,NY,USA,,,,
Perez,Angel,F,27,New York,NY,USA,,,,
Dowdell,Isaiah,M,26,New York,NY,USA,,,,
Herrera,Leon,M,19,New York,NY,USA,,,,
Bonser,Jeremiah,M,27,New York,NY,USA,,,,
Alvarez,talia,F,23,New York,NY,USA,,,,
Villanueva,Ays,F,25,New York,NY,USA,,,,
Wahlert,Margaret,F,27,New York,NY,USA,,,,
Aulakh,Demetreus,M,20,New York,NY,USA,,,,
Burress-Willis,Peter,M,30,New York,NY,USA,,,,
Hong,Sedrick,M,22,New York,NY,USA,,,,
Shaw,Katri,F,24,New York,NY,USA,,,,
Lewis,Gabrielle,F,24,New York,NY,USA,,,,
Kelly,Elizabeth,F,26,New York,NY,USA,,,,
Herrington,Va'Aahi,M,21,New York,NY,USA,,,,
Meraz,Paige,F,24,New York,NY,USA,,,,
Ochoa,Laura,F,24,New York,NY,USA,,,,
Mark,Nicholas,M,25,New York,NY,USA,,,,
Abbott,Victor,M,21,New York,NY,USA,,,,
Asiain,Kristin,F,30,New York,NY,USA,,,,
Wilson,Tyler,M,25,New York,NY,USA,,,,
Ismail,Nhome,M,17,New York,NY,USA,,,,
